musician_screen_name,replies
carliehanson,@carliehanson bACK IN MY AAAARMS https://t.co/MkuaQmX6Xk
carliehanson,@carliehanson I don’t mind either!
carliehanson,@carliehanson You’re so cute
carliehanson,@carliehanson why are you THAT beautiful
carliehanson,@carliehanson Happily
carliehanson,@carliehanson Oh I would baby
EmmylouSongbird,@EmmylouSongbird @ROYORBISON @NonesuchRecords https://t.co/QURl1TdddI
EmmylouSongbird,@EmmylouSongbird @ROYORBISON @NonesuchRecords https://t.co/R0IE91UbOH
EmmylouSongbird,@EmmylouSongbird @ROYORBISON @NonesuchRecords Hi EmmyLou. I want you to know someone out there keeps tweeting me pr… https://t.co/lvrJl6siTQ
EmmylouSongbird,@EmmylouSongbird @ROYORBISON @NonesuchRecords I still have my vinyls of all of those❤️❤️
EmmylouSongbird,"@EmmylouSongbird @ROYORBISON @NonesuchRecords This song is about Neil Young...
Guitar Man
https://t.co/XHXkdt3r3K"
EmmylouSongbird,"@EmmylouSongbird @ROYORBISON @NonesuchRecords This is a must have for me , I love me some Emmylou. You are my favor… https://t.co/dt4DJuscLm"
jasonderulo,"@jasonderulo Hey to Jason, can u match this😊 after 100 push ups💪 https://t.co/DDEVImoVHA"
jasonderulo,@jasonderulo 💜😉
jasonderulo,@jasonderulo 😍😍😍 https://t.co/ZffczgboNv
jasonderulo,@jasonderulo 🍒 👀 🖤 💋
jasonderulo,@jasonderulo https://t.co/BBjTmcWd2Q
jasonderulo,"@jasonderulo Omg Babe, Please don't hurt me💜 Love the pic Tho!!"
jasonderulo,@jasonderulo yeah man🔪
jasonderulo,@jasonderulo Jason could you follow me please 😉😁🙏😘
jasonderulo,@jasonderulo Rhabille toi tt de suite 😭😭😭😭😍😍😍😍😍😍😍😍😍😍
jasonderulo,@jasonderulo @ZmidiT regarde il me cherche 🙈😍
