musician_screen_name,replies
bmthofficial,@bmthofficial @allpointseastuk *Looking for reasons not to enter* https://t.co/TBvgp2Hh5B
bmthofficial,@bmthofficial @allpointseastuk @WarChildUK I wish I could but apparently Belgian citizens can not participate 🙃
bmthofficial,@bmthofficial i remember being 8 and scared shitless music like this. here i am 13 years later screaming along
bmthofficial,"@bmthofficial @scarlxrd Bro what is this shit what about the west coast

I'm hella sad 😭"
celinedion,@celinedion @BSTHydePark @joshgroban @_ClaireRichards Excited! Have tickets to see you in October in Kentucky! 👍🏼
ogchaseb,@ogchaseb https://t.co/D20p2yZIAu
ogchaseb,@ogchaseb All the Time!
chloexhalle,@chloexhalle @CBS went off!
chloexhalle,@chloexhalle @CBS Beautiful
chloexhalle,@chloexhalle @CBS yesss
chloexhalle,@chloexhalle @CBS So beautiful 😍
chloexhalle,@chloexhalle @CBS Can't wait loves!
chloexhalle,@chloexhalle @CBS So @RecordingAcad is doing a do over for that horrible performance by Jlo?! Lol
chloexhalle,@chloexhalle @CBS vocals omg https://t.co/YzvDbIsPO7
chloexhalle,@chloexhalle @CBS you two stay impressing me!!!!!!!!!!!!!!!!!!!!!!!!!!!
chloexhalle,@chloexhalle @CBS wow yall really did THAT
chloexhalle,@chloexhalle @CBS SING HALLE
jasonderulo,"@jasonderulo They really are not anymore, a Samsung S10 or a Huawei P30 Pro would be better"
jasonderulo,@jasonderulo @NICKIMINAJ @davidguetta 🔥🔥🔥🔥
jasonderulo,"@jasonderulo @NICKIMINAJ @davidguetta Dude, I’m ready for the album
🔥🔥🔥"
jasonderulo,@jasonderulo @NICKIMINAJ @davidguetta 🔥🔥🔥
jasonderulo,@jasonderulo @Vante_BrookinsX @NICKIMINAJ @davidguetta Yes with Nicki too! 🔥
jasonderulo,@jasonderulo @NICKIMINAJ @davidguetta 🔥
jasonderulo,@jasonderulo @NICKIMINAJ @davidguetta 🔥
jasonderulo,@jasonderulo @KingRayMontanaa @NICKIMINAJ @davidguetta 🔥🔥🔥🔥
jasonderulo,@jasonderulo @NICKIMINAJ @davidguetta https://t.co/zOhlfY5Tf7
jasonderulo,@jasonderulo @NICKIMINAJ @davidguetta 🔥🔥🔥🔥🔥🔥
