music_lover_id,music_lover_name,music_lover_followers_count,music_lover_friends_count,post_created_at,post_text,post_hashtags,post_mentions,post_favorite_count,post_retweet_count
935170248419950592,seedlemosquito,544,274,Fri Apr 19 19:32:01 +0000 2019,RT @myday6official: i want everyone to appreciate Jae’s legendary interpretation of AC/DC’s ‘Back in Black’ on the guitar during DAY6’s ‘Th…,#,@myday6official@,0,19
111838120,LinosAvramides,1981,3490,Fri Apr 19 19:31:44 +0000 2019,AC/DC - Hells Bells (from Live At Donington) https://t.co/MzqxChUEnJ via @YouTube,#,@YouTube@,0,0
1682868955,KlncSlhn,176,155,Fri Apr 19 19:31:41 +0000 2019,Bu toplumun %60 DC ile AC arasındaki farkı bildiği zaman bu ülkede bilim benim için gelişmiştir,#,@,0,0
2373914336,ShibAvocate,1902,1564,Fri Apr 19 19:31:39 +0000 2019,@Adele_a_bout 😉,#,@Adele_a_bout@,0,0
179912821,mokonefinger,1215,272,Fri Apr 19 19:31:35 +0000 2019,I think Daniel Caesar’s Tiny Desk session was the best. Adele is second on the list...,#,@,0,0
1650040938,wes_paiva,358,246,Fri Apr 19 19:30:53 +0000 2019,@PortalTracklist Taylor - Adele - Niall,#,@PortalTracklist@,0,0
1123333886,adelumine,7951,653,Fri Apr 19 19:30:53 +0000 2019,"RT @lmaximus_e: No one :
Adèle : « Manoooooo d’amour mon bébé mon petit mon chat amour de ma vie les potites papattes d’amour tout petites…",#,@lmaximus_e@,0,1
1123333886,adelumine,7951,653,Fri Apr 19 19:30:34 +0000 2019,"RT @sugaryalien: no one:

Adele: here's a picture of my cat https://t.co/5W255gBEbA",#,@sugaryalien@,0,2
1033011189196836864,BobOsFUN,8,30,Fri Apr 19 19:31:04 +0000 2019,It Pays to Play! One lucky player won an Amazon Fire TV Box as well as a Fire HD 8 tablet playing The Barber Cut at… https://t.co/BcmIZp7Ir8,#,@,0,0
172204354,thezoneplaylist,491,210,Fri Apr 19 19:21:02 +0000 2019,"[April 19, 2019 at 12:19 pm] Creature Comfort by Arcade Fire",#,@,0,0
1026331723452231680,charmacrights,101,111,Fri Apr 19 19:13:18 +0000 2019,buzzcut season and the suburbs by arcade fire kind of have the same overall energy as eachother and they : Both absolutely obliterate my ass,#,@,3,0
2458374030,afinhy,633,224,Fri Apr 19 19:10:38 +0000 2019,Arcade Fire - Creature Comfort (Official Video) https://t.co/Hi6i3cic5z,#,@,1,0
1083128334454845443,Cathimilena,30,236,Fri Apr 19 19:08:02 +0000 2019,@euWillianBonner wake up - arcade fire,#,@euWillianBonner@,0,0
4704312674,elena_vezou,49,265,Fri Apr 19 19:27:18 +0000 2019,RT @heyitsau_ra: a s s a s s i n ⚔ is out now !! aaAagH https://t.co/CCvHvTKcQz https://t.co/kopBVtAx9d,#,@heyitsau_ra@,0,72
28318504,radiosines,821,79,Fri Apr 19 19:26:01 +0000 2019,Alan Walker - Darkside (Feat. Au Ra and Tomine Harket),#,@,0,0
2770296614,Droneeffect,47,73,Fri Apr 19 19:23:36 +0000 2019,RT @PierrePicard03: Ce matin avec Julien et les #ja_rhone entre vignes et caves. Super accueil au Domaine de grande ferrière ou du #beaujol…,#ja_rhone#,@PierrePicard03@,0,2
1005072741337362432,aymeriics,152,198,Fri Apr 19 19:23:02 +0000 2019,"RT @MaskedIntrovert: People worried that adding male viera to #ffxiv will get rid of their sexy bunny girls, have you looked at the stats o…",#ffxiv#,@MaskedIntrovert@,0,3
1105251503290400768,hopefulviera,35,101,Fri Apr 19 19:22:42 +0000 2019,"RT @MaskedIntrovert: People worried that adding male viera to #ffxiv will get rid of their sexy bunny girls, have you looked at the stats o…",#ffxiv#,@MaskedIntrovert@,0,3
847955172236156928,titansofradio,180,443,Fri Apr 19 18:54:29 +0000 2019,Ayo &amp; Teo (@AyoTeoOfficial) (@OgLeloo) (@shmateo_) - Rolex,#,@AyoTeoOfficial@OgLeloo@shmateo_@,0,0
849639868535799808,oofy_Boof,109,128,Fri Apr 19 16:38:48 +0000 2019,rolex by ayo &amp; teo? honestly a great song,#,@,1,0
34159452,AmarachiBub,982,1061,Fri Apr 19 13:59:57 +0000 2019,Ayo &amp; Teo ft B Smyth - Friends (Clean),#,@,0,0
898262790858842113,carpediemmgt,135,550,Fri Apr 19 13:05:28 +0000 2019,Now Playing On Carpe Diem Live Radio Ayo &amp; Teo - Better Off Alone,#,@,0,0
255682074,carolynnmarggg,1520,75,Fri Apr 19 19:14:18 +0000 2019,"RT @MoodySith: every Lauv, Chelsea Cutler, Jeremy Zucker, Blackbear, Quinn XCII, Ayokay, and LANY song: https://t.co/EfZeOPCREJ",#,@MoodySith@,0,15
557679298,anglcaquiaoit,284,313,Fri Apr 19 19:08:51 +0000 2019,"RT @MoodySith: every Lauv, Chelsea Cutler, Jeremy Zucker, Blackbear, Quinn XCII, Ayokay, and LANY song: https://t.co/EfZeOPCREJ",#,@MoodySith@,0,15
706455129,Keyleeshayee,396,226,Fri Apr 19 18:43:29 +0000 2019,"RT @MoodySith: every Lauv, Chelsea Cutler, Jeremy Zucker, Blackbear, Quinn XCII, Ayokay, and LANY song: https://t.co/EfZeOPCREJ",#,@MoodySith@,0,15
3235526312,palowx,91,482,Fri Apr 19 18:40:17 +0000 2019,"RT @MoodySith: every Lauv, Chelsea Cutler, Jeremy Zucker, Blackbear, Quinn XCII, Ayokay, and LANY song: https://t.co/EfZeOPCREJ",#,@MoodySith@,0,15
719049890421194752,megbrushh,145,135,Fri Apr 19 18:35:49 +0000 2019,"RT @MoodySith: every Lauv, Chelsea Cutler, Jeremy Zucker, Blackbear, Quinn XCII, Ayokay, and LANY song: https://t.co/EfZeOPCREJ",#,@MoodySith@,0,15
202673170,fedevelenski,5084,879,Fri Apr 19 19:29:03 +0000 2019,RT @fedevelenski: Soy muy muy hermana de la nariz de Barbra Streisand https://t.co/m4GvffRjo1,#,@fedevelenski@,0,1
966058991561437184,breakingnewshe1,77,0,Fri Apr 19 19:21:56 +0000 2019,"Actor James Brolin talks ""Life in Pieces,"" wife Barbra Streisand https://t.co/KGU0C8xH8k https://t.co/NBq3RKBBjC",#,@,0,0
1004141773365678081,ByDeborahAnn,9,13,Fri Apr 19 19:14:05 +0000 2019,Exclusive: A Duplex Penthouse With Park Views on the Market for $11.25 Million https://t.co/Y15erWp7YG https://t.co/ZavZQgglRg,#,@,0,0
798120582936199168,liliana_moroni,15,13,Fri Apr 19 19:09:21 +0000 2019,BARBRA STREISAND - AVINU MALKEINU https://t.co/nhDPkJlYUs,#,@,0,0
419162598,champagnemabi_,1199,496,Fri Apr 19 19:32:14 +0000 2019,"RT @glendonfrancis: “I been on, I been on. Tell me who gon’ take me off?”
—Beyoncé https://t.co/W1Lu3bvObd",#,@glendonfrancis@,0,2177
3943098913,hyunchub,2148,130,Fri Apr 19 19:32:14 +0000 2019,RT @hyunchub: IM SCREAMING BEYONCÉ DANCING FITS LOTTO https://t.co/d8JGTcBFqc,#,@hyunchub@,0,1290
534977488,_AllThatJazzz_,367,299,Fri Apr 19 19:32:14 +0000 2019,RT @DaScorpioQueen: Beyoncé &amp; Solange. Talk about sister goals❤ https://t.co/N0WSX86DDK,#,@DaScorpioQueen@,0,5288
1064226837197410304,otmvsf,96,126,Fri Apr 19 18:55:28 +0000 2019,"obg Lana, Marina, Clairo, girl in red, Rosie Carney, Billie Marten, Melanie Martinez e todos os artistas indies q j… https://t.co/2V7PYqaeWR",#,@,0,0
2896429520,unraissa,155,302,Fri Apr 19 14:05:58 +0000 2019,"@askmenfess Teeth - Billie Marten
Under the Table - Banks
Focus / Dynamite - Sigrid
My Love / Scarecrow - Lee Hi
Lo… https://t.co/lHz5cf7gqE",#,@askmenfess@,1,0
20899030,daherrerah,75,231,Fri Apr 19 12:18:43 +0000 2019,Billie Marten : Mice https://t.co/37kRXzujV4,#,@,0,0
114626672,DoubleJPlays,4432,2,Fri Apr 19 03:23:06 +0000 2019,Billie Marten - Betsy [13:21],#,@,0,0
2429263049,Hunilek,320,267,Fri Apr 19 02:09:12 +0000 2019,"i might have to stan billie marten, y'all.",#,@,0,0
3824889916,jordancronin_,562,531,Fri Apr 19 19:28:47 +0000 2019,Brilliant day all round but the highlight of my afternoon has to be receiving a Billy Joel CD from Alan Courtney.… https://t.co/1LO19zKA3l,#,@,0,0
420059082,JoeBobCutting,1083,1924,Fri Apr 19 19:28:47 +0000 2019,RT @OConnellCTR: Garth Brooks returns to Gainesville this weekend for the first time since his performance inside the O'Connell Center with…,#,@OConnellCTR@,0,3
44461627,jdhookerFL,199,512,Fri Apr 19 19:28:38 +0000 2019,RT @OConnellCTR: Garth Brooks returns to Gainesville this weekend for the first time since his performance inside the O'Connell Center with…,#,@OConnellCTR@,0,3
