music_lover_id,music_lover_name,music_lover_followers_count,music_lover_friends_count,post_created_at,post_text,post_hashtags,post_mentions,post_favorite_count,post_retweet_count
325151258,BlankElena0o,990,1167,Fri Apr 26 15:42:15 +0000 2019,"En la noche escuchando Ac/dc, aaa pero en el desayuno si con los tigres... Tal vez por eso no me aguantan casaca 🤭",#,@,0,0
313584931,ChristinaHeato1,384,509,Fri Apr 26 15:42:06 +0000 2019,RT @saralivadeas: Is it me or is it obvious that encouraging people to keep moving maintains their mobility? Why are we so risk averse when…,#,@saralivadeas@,0,58
750353368477011968,vmarquezmees,36,208,Fri Apr 26 15:41:51 +0000 2019,"RT @AccountCounsel: Today in #DC @the_IDB, three women devoted to #accountability discuss protections for #humanrights defenders: head of t…",#DC#accountability#humanrights#,@AccountCounsel@the_IDB@,0,11
770807605,TimGarrison1,91,197,Fri Apr 26 15:41:47 +0000 2019,"@MSUCarillon @MissouriState @LibrariesMSU Thunderstruck, by AC/DC.  The guitar riff would be epic.",#,@MSUCarillon@MissouriState@LibrariesMSU@,0,0
307195080,Ryomagnon,424,223,Fri Apr 26 15:41:32 +0000 2019,"#ドォーモラジオ
熱い〜〜じゃん！！！泣

AC/DC、、、泣",#ドォーモラジオ#,@,0,0
4148640521,AdeleNowuk,7688,271,Fri Apr 26 15:42:28 +0000 2019,"RT @AdeleNowuk: Adele backstage at the 51st Annual Grammy Awards (February 8, 2009) https://t.co/gqx0AI69kZ",#,@AdeleNowuk@,0,49
985125725337542656,sweetandtae,72,152,Fri Apr 26 15:42:27 +0000 2019,"RT @bangtanism89: World’s Biggest 1st Week Album Sales

1. Adele - 25 (2015): 5.7M
2. BSB - Black &amp; Blue (2000): 5M
3. Utada Hikaru - Dista…",#,@bangtanism89@,0,5963
875896924934610944,m_adele_,7,177,Fri Apr 26 15:42:27 +0000 2019,Can skinny people use the towels at sports center to cover their bodies if they want or like do y’all need two also?,#,@,0,0
724649057033973760,jozzmurillo,662,594,Fri Apr 26 15:42:27 +0000 2019,"RT @WORLDMUSICAWARD: TOP10 ALBUMS ON 🌎ITUNES
1⃣WhenWeAllFallAsleep #BillieEilish
2⃣HOMECOMING #Beyonce
3⃣MAPOFTHESOULPERSONA #BTS
4⃣AStarIs…",#BillieEilish#Beyonce#BTS#,@WORLDMUSICAWARD@,0,1917
4148640521,AdeleNowuk,7688,271,Fri Apr 26 15:42:25 +0000 2019,"RT @AdeleNowuk: Adele on stage in Melbourne, AU (March 19, 2017) https://t.co/mw7teWb4as",#,@AdeleNowuk@,0,6
