music_lover_id,music_lover_name,music_lover_followers_count,music_lover_friends_count,post_created_at,post_text,post_hashtags,post_mentions,post_favorite_count,post_retweet_count
55554921,francoistunes,431,788,Fri Apr 19 19:05:56 +0000 2019,"RT @defjam: In the fall of 2010, Kanye West announced GOOD Fridays, a weekly series that delivered a new song every Friday for nearly four…",#,@defjam@,0,116
846602022849859584,drapy88,34,42,Fri Apr 19 19:05:41 +0000 2019,RT @enews: The mystery of Kim Kardashian's sinks is finally solved. https://t.co/qRRQajfJaw https://t.co/j5e1kiGnGu,#,@enews@,0,8643
995601456362221568,takazawa__,26,42,Fri Apr 19 19:05:39 +0000 2019,"RT @Complex: On Easter Sunday, Kanye West will bring his Sunday Service experience to #Coachella 

From the first Sunday of the year to now…",#Coachella#,@Complex@,0,52
24272090,JenBoogiee,563,402,Fri Apr 19 19:05:35 +0000 2019,"RT @defjam: In the fall of 2010, Kanye West announced GOOD Fridays, a weekly series that delivered a new song every Friday for nearly four…",#,@defjam@,0,116
582173823,RPEntRadio,2331,998,Fri Apr 19 19:04:32 +0000 2019,#NowPlaying 2 Chainz - Live &amp; Learn (I Will) (Feat. Dolla Boy &amp; Pusha T) (Produced By V Don) on https://t.co/MffCaVcI7s,#NowPlaying#,@,0,0
733841731209175041,Randonmendez,158,139,Fri Apr 19 19:03:35 +0000 2019,"RT @defjam: The GOOD Friday sessions featured artists like Mos Def, Lupe Fiasco, Big Sean, Kid Cudi, John Legend, Pusha T, Nicki Minaj, J.…",#,@defjam@,0,20
776128881107558401,7Six5Live,546,201,Fri Apr 19 19:05:57 +0000 2019,"Now Playing: YG f. 2 Chainz, Big Sean &amp; Nicki Minaj - Big Bank (Knock2 Remix) (Clean) on @7Six5Live #GetLive  #GetLiveMediaNetwork",#GetLive#GetLiveMediaNetwork#,@7Six5Live@,0,0
1097089880222511104,peejtheslime,376,231,Fri Apr 19 19:05:40 +0000 2019,Big Sean managed to get himself on a Coldplay track and I had to shut my mouth,#,@,0,0
3421266453,artist_chris_,95,95,Fri Apr 19 18:47:55 +0000 2019,"RT @katiecouric: #NotreDame has housed 3 beehives on the first floor on a roof over the sacristy, just beneath the rose window, since 2013.…",#NotreDame#,@katiecouric@,0,595
67640827,chris_herd,4736,624,Fri Apr 19 14:25:02 +0000 2019,"Watch for ‘experts’ who defend their industry as too complex for disruption

They’re hiding something

Or they don’… https://t.co/4zP8khbhgm",#,@,4,1
766033068,weitgereister,59,761,Fri Apr 19 12:52:41 +0000 2019,"Am 17.5.2019 erscheint das zweite Coverversionenalbum von Jochen Distelmeyer. 
Also auf jeden Fall noch vor einem A… https://t.co/JyxaotS4zt",#,@,0,0
