music_lover_id,music_lover_name,music_lover_followers_count,music_lover_friends_count,post_created_at,post_text,post_hashtags,post_mentions,post_favorite_count,post_retweet_count
322377206,soulbreno,1087,629,Fri Apr 26 16:13:28 +0000 2019,"Eu sou tipo Kanye West tirando o prêmio da Taylor, a Taylor é você...",#,@,0,0
547997472,JEM_STRANGE,541,362,Fri Apr 26 16:13:19 +0000 2019,Kanye west has some fuckin bangers,#,@,0,0
425354384,CarlosJoe_,792,2116,Fri Apr 26 16:12:35 +0000 2019,RT @ComplexMusic: Kanye West reportedly interested in starting a church. https://t.co/3oiNZXmmIo https://t.co/08iAfEIJp8,#,@ComplexMusic@,0,26
389021187,TheHipHopMag,1426,1436,Fri Apr 26 16:12:24 +0000 2019,Music News: Kanye West Considering Starting a Church Sources Say https://t.co/JMTjjKPdUm,#,@,0,0
2779651300,meunome_e_massa,205,286,Fri Apr 26 16:12:22 +0000 2019,RT @almeidascamila: compre tênis do kanye west pra sua mina,#,@almeidascamila@,0,2
2593610952,WealthyGorilla,51749,41545,Fri Apr 26 16:13:09 +0000 2019,Pusha T Net Worth https://t.co/0b0wBQGNLs https://t.co/WdXv5XGyBV,#,@,0,0
2715096917,JailBirdMarz,31,54,Fri Apr 26 16:11:39 +0000 2019,@sitw pulled up on @PUSHA_T 👑 we out here for #SITWFest let’s get it 💯💯 https://t.co/2s5nbtzPZ0,#SITWFest#,@sitw@PUSHA_T@,1,0
33367524,Da2rth,89,88,Fri Apr 26 16:10:42 +0000 2019,Congrats to Juanito Cate of Alkaline...Pharrell and Pusha T hand-picked local restaurants for Something in the Water https://t.co/k0kY9UKan5,#,@,0,0
971980384643592192,CediCenter,2371,1987,Fri Apr 26 16:06:57 +0000 2019,"@ChiraqRose Yup, not really a fan of nipsey and pusha but credit were credit is due and their albums were great, bu… https://t.co/YnjA1f4y6W",#,@ChiraqRose@,0,0
4901568489,joce_noel,117,90,Fri Apr 26 16:06:46 +0000 2019,RT @KDKA: A MOTHER'S LOVE KNOWS NO BOUNDS!  Meet Pusha the cat. She lives in Crimea and is taking care of 4 orphaned baby squirrels like th…,#,@KDKA@,0,8
747943874660687873,sean_tucker3,798,858,Fri Apr 26 16:13:25 +0000 2019,@baegyptian i ate a big bowl of unstuffed peppers yesterday girl!! and I’m gonna eat leftovers for lunch!!!!🥰🤑🤯,#,@baegyptian@,1,0
185471102,Sean_ESPN,287,767,Fri Apr 26 16:12:41 +0000 2019,RT @LeBatardShow: Just released our third original podcast on #LeBatardAF. It’s called “Mystery Crate” and it’s going to provide you someth…,#LeBatardAF#,@LeBatardShow@,0,12
