music_lover_id,music_lover_name,music_lover_followers_count,music_lover_friends_count,post_created_at,post_text,post_hashtags,post_mentions,post_favorite_count,post_retweet_count
4215209715,_andra_____,293,152,Fri Apr 19 18:22:12 +0000 2019,RT @kobychill: one day on sugar bear hair! literally obsessed with these results 😍❤️😍 https://t.co/xAh1cUp5ly,#,@kobychill@,0,74
557733090,LiseLasalle,3801,2961,Fri Apr 19 17:52:54 +0000 2019,Andra Day - Rise Up [Audio] https://t.co/R5t7MjhR8C via @YouTube,#,@YouTube@,0,0
3029367293,ttoosieee,560,403,Fri Apr 19 17:41:05 +0000 2019,"J- Justin Timberlake
A- Andra Day
Y- Yella Beezy
A- Alicia Keys
N- Nicki Minaj
A- A Boogie https://t.co/tKdhA9FgT6",#,@,0,0
1565344712,XX_andra,193,469,Fri Apr 19 17:18:49 +0000 2019,"RT @MayaJama: I always say this, if you think something nice about someone let them know! You never know the tiniest comment could make som…",#,@MayaJama@,0,905
1565344712,XX_andra,193,469,Fri Apr 19 17:14:29 +0000 2019,RT @rayq198: Me in the future when I see my child heading inside on their first day of school with their backpacks the same size as their l…,#,@rayq198@,0,34437
14985388,HipHopDotCa,16182,2252,Fri Apr 19 19:10:33 +0000 2019,"#NowPlaying Baka Not Nice - Dope Game on @hiphopdotca - https://t.co/F4lH8vZ21Y ""LIVE HIP HOP MUSIC 24/7 #HiphopRadio #HiphopMusic #24/7",#NowPlaying#HiphopRadio#HiphopMusic#,@HipHopDotCa@,0,0
134586361,ellhah,7266,978,Fri Apr 19 17:32:11 +0000 2019,"11. @Baka_Not_Nice - No Long Talk EP. March 22nd, 2019. https://t.co/Z4YVVKwAi7 https://t.co/9AA2qd3drr",#,@Baka_Not_Nice@,1,0
1067153798844608512,BlackoutKt,1,19,Fri Apr 19 17:17:53 +0000 2019,I slap your Brains in the streets @Baka_Not_Nice. Yo this dude is amazing. Checkout my page I do music as well.… https://t.co/xWOX43wRla,#,@Baka_Not_Nice@,0,0
3547565721,Yuimila9,31,30,Fri Apr 19 18:39:45 +0000 2019,@kamontaeyang Carlie Hanson Numb,#,@kamontaeyang@,0,0
966672026856407040,damnielk,5242,4686,Fri Apr 19 13:41:21 +0000 2019,Carlie Hanson - Numb https://t.co/QBVVVtNrYP lewat @YouTube,#,@YouTube@,0,0
91382310,kdtv65,35,107,Fri Apr 19 10:11:16 +0000 2019,Carlie Hanson - Numb [Official Audio],#,@,0,0
2208031685,LoucaStyles,1406,503,Fri Apr 19 08:47:21 +0000 2019,"I love the presence of Carlie Hanson's stage, she rocked the concert in Brooklyn Steel 💙 https://t.co/x67UtMkgqu",#,@,0,0
2998635522,myrputations,2906,4451,Fri Apr 19 05:50:25 +0000 2019,how does carlie hanson not like girls im sad https://t.co/XnEZxLkREO,#,@,2,0
815242118029414400,domhowardbot,40,37,Fri Apr 19 19:18:33 +0000 2019,"Roses are red, I can see, this is my peepee rayana elle ???? ,. ass me in i'm NOT gay pink damon albarn is scary chris just ate a live mouse",#,@,0,0
3136873786,svnburned,228,292,Fri Apr 19 19:13:08 +0000 2019,RT @samsunlawson: Graham Coxon and Damon Albarn in a 1997 issue of Men’s Non-No https://t.co/NrIHOSph3Q,#,@samsunlawson@,0,4
