music_lover_id,music_lover_name,music_lover_followers_count,music_lover_friends_count,post_created_at,post_text,post_hashtags,post_mentions,post_favorite_count,post_retweet_count
1145972840,Amore_Oya,2014,601,Fri Apr 26 14:37:01 +0000 2019,"For Andra Day loved the world so much she gave you a theme song for this emoji 🚩

Osso, this album doesn't slap, it… https://t.co/L1uHfB4M7w",#,@,0,0
521641240,BaileyGrayvold,1102,1456,Fri Apr 26 14:31:23 +0000 2019,Andra Day’s song “Rise Up” hits differently,#,@,0,0
472160583,AstrydNovara,299,21,Fri Apr 26 14:08:59 +0000 2019,Nuovo preferito: Andra Day / Not Today https://t.co/vaTdUlGFHe @DeezerItalia,#,@,0,0
851658865963872256,NurseRadioLive,99,75,Fri Apr 26 14:03:23 +0000 2019,Now playing Andra Day - Rise Up.mp3 by !,#,@,0,0
953790209333911552,lcvingloki,448,378,Fri Apr 26 13:54:28 +0000 2019,@thorxbruce rise up by andra day,#,@thorxbruce@,1,0
397506335,chuks_chinedu,741,4930,Fri Apr 26 13:52:22 +0000 2019,"✍️ GRM EXCLUSIVE: Baka_Not_Nice discusses 'No Long Talk', Nipsey Hussle and his influences growing up

➡️… https://t.co/u9QInxMypg",#,@,0,0
22922263,GRMDAILY,248300,808,Fri Apr 26 13:49:21 +0000 2019,"✍️ GRM EXCLUSIVE: @Baka_Not_Nice discusses 'No Long Talk', Nipsey Hussle and his influences growing up

➡️… https://t.co/S1R7O0MSqM",#,@Baka_Not_Nice@,4,0
4010775012,breyartist,730,549,Fri Apr 26 10:48:24 +0000 2019,Have you ever bought lingerie for a girl? — HAHAHA nice Q. Not yet baka bukas 🤣👌 https://t.co/uGmNZJRpKw,#,@,0,0
758624306683322368,ospectoyou,89,287,Fri Apr 26 07:53:18 +0000 2019,Baka Not Nice - Gimmie That Work (4Milli) https://t.co/SCuuwqsdHK,#,@,0,0
3192750721,Youngfrenchy808,7544,16692,Fri Apr 26 04:04:42 +0000 2019,"(Free) Baka Not Nice X ScHoolboy Q Type Beat 2019 ""You Bad"" | Drake | Ha... https://t.co/l3fj3w8hpB via @YouTube",#,@YouTube@,0,0
