post_id,musician_screen_name,post_created_at,musician_post,musician_post_hashtags,musician_post_mentions,musician_post_favorite_count,musician_post_retweet_count
843416099689549825,acdc,Sun Mar 19 10:57:22 +0000 2017,"Chuck Berry IS rock and roll!
It's sad day for rock and roll, but his music will live on forever.
Hail, hail rock a… https://t.co/VI4CSenqXO",#,@,7807,3099
824556466791186433,acdc,Thu Jan 26 09:55:55 +0000 2017,Happy Australia Day ⚡️ https://t.co/z6wlN3HUG6,#,@,4027,943
815314813526147074,acdc,Sat Dec 31 21:52:54 +0000 2016,"Happy New Year!⚡️
https://t.co/MbeQIIGCqO",#,@,1963,729
813046217861169153,acdc,Sun Dec 25 15:38:18 +0000 2016,"Hell's bells! It's Christmas!
Happy holidays everyone ⚡️🎄✨ https://t.co/B0Tspw3ulb",#,@,4389,1609
807313398882922496,acdc,Fri Dec 09 19:58:08 +0000 2016,"You ask me why I like to play,
I got to get my kicks some way ⚡️https://t.co/KuE9HeZxjV",#,@,1131,430
802199898754076672,acdc,Fri Nov 25 17:18:54 +0000 2016,"Back In Black, Friday!
https://t.co/yByQ9lpKrK",#,@,1438,697
800031709827829760,acdc,Sat Nov 19 17:43:18 +0000 2016,Rock 'n' Roll Damnation ⚡️https://t.co/9XLWYITa4X,#,@,870,338
797786384882929664,acdc,Sun Nov 13 13:01:10 +0000 2016,On the Runaway Train ⚡️ https://t.co/VrmYotJaxu,#,@,829,336
793135765551255552,acdc,Mon Oct 31 17:01:16 +0000 2016,Happy Hallowe'en! ⚡️ https://t.co/fI5cmUzYLu,#,@,2103,710
790678336624267265,acdc,Mon Oct 24 22:16:20 +0000 2016,You've been Thunderstruck ⚡️  https://t.co/bNqDXyJaTk,#,@,1137,552
788764554960445441,acdc,Wed Oct 19 15:31:39 +0000 2016,"You got me ringing Hells Bells, 
My temperature's high, Hells Bells ⚡️ https://t.co/m3byEi3TLQ",#,@,835,342
786515723724083201,acdc,Thu Oct 13 10:35:35 +0000 2016,Which were your favourite songs that AC⚡️DC played on the #RockOrBust World Tour? https://t.co/zSo8bk9MNE,#RockOrBust#,@,1892,527
784888053923999744,acdc,Sat Oct 08 22:47:49 +0000 2016,"And it came to pass,
That rock 'n' roll was born ⚡️
https://t.co/Bzk9Stljhk",#,@,744,276
784160595960532992,acdc,Thu Oct 06 22:37:09 +0000 2016,What are your favourite experiences of seeing AC/DC live? https://t.co/zEtbREB2mE,#,@,1662,508
782359500250550272,acdc,Sat Oct 01 23:20:15 +0000 2016,Hell Ain't A Bad Place To Be ⚡️ https://t.co/SfdsgKA6Ve,#,@,724,273
