post_id,musician_screen_name,post_created_at,musician_post,musician_post_hashtags,musician_post_mentions,musician_post_favorite_count,musician_post_retweet_count
1080212949464043520,kanyewest,Tue Jan 01 21:23:31 +0000 2019,One of my favorite of many things about what the Trump hat represents to me is that people can’t tell me what to do because I’m black,#,@,109617,16890
1080211582955663360,kanyewest,Tue Jan 01 21:18:05 +0000 2019,Spoke with Joe Rogan    Podcast coming soon🔥🔥🔥,#,@,325130,66323
1080209800846176256,kanyewest,Tue Jan 01 21:11:00 +0000 2019,From now on I’m performing with my mutherfucking hat on 🐉🐉🐉,#,@,91937,11203
1080206689469489153,kanyewest,Tue Jan 01 20:58:38 +0000 2019,RT @Maha_Sattva: @kanyewest https://t.co/RDqTElWzdk,#,@Maha_Sattva@kanyewest@,0,1524
1080206642040340481,kanyewest,Tue Jan 01 20:58:27 +0000 2019,Love everyone      Start the year clean      Just be     All love,#,@,59765,16608
1080206417523429376,kanyewest,Tue Jan 01 20:57:33 +0000 2019,RT @yetaughtni: Honestly felt like the TL needed this... words of wisdom from the wisest ✨✨✨✨ https://t.co/NvsovzihjT,#,@yetaughtni@,0,6945
1080206353308692480,kanyewest,Tue Jan 01 20:57:18 +0000 2019,RT @JordanPrileszky: Rolling into 2019 with a line up of my favourite illustrations of @kanyewest /// Thank you for always being an inspira…,#,@JordanPrileszky@kanyewest@,0,1471
1080206247981309952,kanyewest,Tue Jan 01 20:56:53 +0000 2019,RT @rihsnake: DOPE https://t.co/CcDM9W3h08,#,@rihsnake@,0,702
1080206155811414016,kanyewest,Tue Jan 01 20:56:31 +0000 2019,RT @BasedCharlie: Drake telling OVO fest that Kanye is his biggest Inspiration just Incase y’all needed more confirmation https://t.co/XFCo…,#,@BasedCharlie@,0,2360
1080206130041651200,kanyewest,Tue Jan 01 20:56:25 +0000 2019,RT @ima_fix_wolves: @kanyewest KANYE KANYE KANYE I WANNA FRAME KIDS SEE GHOSTS SHORT FILM POSTER NEXT https://t.co/NpbHk7edJi,#,@ima_fix_wolves@kanyewest@,0,196
1080206103969914880,kanyewest,Tue Jan 01 20:56:19 +0000 2019,RT @TrvppyHippy: had to snap real quick ya feel me https://t.co/ZjiFcsHlBO,#,@TrvppyHippy@,0,292
1080205920431296512,kanyewest,Tue Jan 01 20:55:35 +0000 2019,RT @KanyeStanWV: My two @kanyewest tattoos https://t.co/sZOcjMePHc,#,@KanyeStanWV@kanyewest@,0,522
1080205829662371840,kanyewest,Tue Jan 01 20:55:13 +0000 2019,RT @LUVisUzi: We need a collab Mr West...😌 https://t.co/uvCqDLdtZk,#,@LUVisUzi@,0,2509
1080205500854153216,kanyewest,Tue Jan 01 20:53:55 +0000 2019,RT @tyfg_noodles: @kanyewest my tattoos are a daily inspiration thank you for the greatness https://t.co/s2LSXXj2Un,#,@tyfg_noodles@kanyewest@,0,133
1080205153729302528,kanyewest,Tue Jan 01 20:52:32 +0000 2019,RT @KrysJenner: My new bed spread tho #Famous https://t.co/hnvw9eCtdW,#Famous#,@KrysJenner@,0,1182
1080204699494535168,kanyewest,Tue Jan 01 20:50:44 +0000 2019,RT @IconicYeezy: https://t.co/btopYDbxBA,#,@IconicYeezy@,0,700
1080204572717592578,kanyewest,Tue Jan 01 20:50:14 +0000 2019,RT @YEEZYtaughtyou: @kanyewest the process of greatness https://t.co/bZI9etimc3,#,@YEEZYtaughtyou@kanyewest@,0,112
1080204454450712576,kanyewest,Tue Jan 01 20:49:45 +0000 2019,RT @YEEZYtaughtyou: 🐻 @TeamKanyeDaily @KimKardashian https://t.co/rtzLCa287k,#,@YEEZYtaughtyou@TeamKanyeDaily@KimKardashian@,0,240
1080204412436369409,kanyewest,Tue Jan 01 20:49:35 +0000 2019,RT @traptomcruise22: We are witnessing the greatest artist of all time in action @kanyewest,#,@traptomcruise22@kanyewest@,0,428
1118514506546548736,PUSHA_T,Wed Apr 17 14:00:14 +0000 2019,RT @FootwearNews: .@PUSHA_T debuts new Adidas sneakers at #Coachella:  https://t.co/38VzTSqgwx https://t.co/V7BKUNqpxz,#Coachella#,@FootwearNews@PUSHA_T@,0,19
1118514479484899335,PUSHA_T,Wed Apr 17 14:00:07 +0000 2019,RT @BritishGQ: @PUSHA_T just debuted his Adidas collaboration at #Coachella. https://t.co/iNIawO0sCK,#Coachella#,@BritishGQ@PUSHA_T@,0,13
1118514397993824256,PUSHA_T,Wed Apr 17 13:59:48 +0000 2019,RT @GQMagazine: .@PUSHA_T's #Coachella look is the kind of festival style we can get on board with https://t.co/DhhftVbhnB,#Coachella#,@GQMagazine@PUSHA_T@,0,15
1118514349671272449,PUSHA_T,Wed Apr 17 13:59:36 +0000 2019,"RT @Power106LA: K I N G 👑 P U S H 👑 @PUSHA_T 
•
📸: @Spiribolt https://t.co/17H03SNzax",#,@Power106LA@PUSHA_T@Spiribolt@,0,85
1118514311813406720,PUSHA_T,Wed Apr 17 13:59:27 +0000 2019,"RT @HYPEBEAST: This week's best art drops include @TheSkateroom’s collaboration sets with @aiww, #Basquiat and Steven Harrington, @ninachan…",#Basquiat#,@HYPEBEAST@TheSkateroom@aiww@,0,10
1118210599303782400,PUSHA_T,Tue Apr 16 17:52:36 +0000 2019,https://t.co/aZ9IYxCzvJ,#,@,1182,148
1118183194199830528,PUSHA_T,Tue Apr 16 16:03:42 +0000 2019,"Only heaven nose... @ Coachella, California https://t.co/YjGIiFDjHu",#,@,106,12
1118158189680189441,PUSHA_T,Tue Apr 16 14:24:21 +0000 2019,"RT @Chanel_Pucci: I’m tryna do a roll call ...
Whose going to #SITWfest ? 

If you’re traveling from out of town .. let’s link !🔊💯",#SITWfest#,@Chanel_Pucci@,0,5
1117863965080662016,PUSHA_T,Mon Apr 15 18:55:12 +0000 2019,When they ask you how you got art as merch 🤷🏿‍♂️ thank you @ninachanel 🙏🏿 this is 1 of 200 pieces only available at… https://t.co/Qs7TNLwUqd,#,@ninachanel@,133,11
1117811380374032385,PUSHA_T,Mon Apr 15 15:26:15 +0000 2019,"RT @GQMagazine: The 10 best-dressed men of the week, including @RobertDowneyJr, @JHarden13, @PUSHA_T, and Ethan Hawke https://t.co/tcegkX8H…",#,@GQMagazine@RobertDowneyJr@JHarden13@PUSHA_T@,0,48
