post_id,musician_screen_name,post_created_at,musician_post,musician_post_hashtags,musician_post_mentions,musician_post_favorite_count,musician_post_retweet_count
1080212949464043520,kanyewest,Tue Jan 01 21:23:31 +0000 2019,One of my favorite of many things about what the Trump hat represents to me is that people can’t tell me what to do because I’m black,#,@,110620,17040
1080211582955663360,kanyewest,Tue Jan 01 21:18:05 +0000 2019,Spoke with Joe Rogan    Podcast coming soon🔥🔥🔥,#,@,325397,66285
1080209800846176256,kanyewest,Tue Jan 01 21:11:00 +0000 2019,From now on I’m performing with my mutherfucking hat on 🐉🐉🐉,#,@,92328,11221
1080206689469489153,kanyewest,Tue Jan 01 20:58:38 +0000 2019,RT @Maha_Sattva: @kanyewest https://t.co/RDqTElWzdk,#,@Maha_Sattva@kanyewest@,0,1564
1080206642040340481,kanyewest,Tue Jan 01 20:58:27 +0000 2019,Love everyone      Start the year clean      Just be     All love,#,@,60210,16736
1080206417523429376,kanyewest,Tue Jan 01 20:57:33 +0000 2019,RT @yetaughtni: Honestly felt like the TL needed this... words of wisdom from the wisest ✨✨✨✨ https://t.co/NvsovzihjT,#,@yetaughtni@,0,7145
1080206353308692480,kanyewest,Tue Jan 01 20:57:18 +0000 2019,RT @JordanPrileszky: Rolling into 2019 with a line up of my favourite illustrations of @kanyewest /// Thank you for always being an inspira…,#,@JordanPrileszky@kanyewest@,0,1499
1080206247981309952,kanyewest,Tue Jan 01 20:56:53 +0000 2019,RT @rihsnake: DOPE https://t.co/CcDM9W3h08,#,@rihsnake@,0,722
1080206155811414016,kanyewest,Tue Jan 01 20:56:31 +0000 2019,RT @BasedCharlie: Drake telling OVO fest that Kanye is his biggest Inspiration just Incase y’all needed more confirmation https://t.co/XFCo…,#,@BasedCharlie@,0,2385
1080206130041651200,kanyewest,Tue Jan 01 20:56:25 +0000 2019,RT @ima_fix_wolves: @kanyewest KANYE KANYE KANYE I WANNA FRAME KIDS SEE GHOSTS SHORT FILM POSTER NEXT https://t.co/NpbHk7edJi,#,@ima_fix_wolves@kanyewest@,0,198
1080206103969914880,kanyewest,Tue Jan 01 20:56:19 +0000 2019,RT @TrvppyHippy: had to snap real quick ya feel me https://t.co/ZjiFcsHlBO,#,@TrvppyHippy@,0,296
