post_id,musician_screen_name,post_created_at,musician_post,musician_post_hashtags,musician_post_mentions,musician_post_favorite_count,musician_post_retweet_count
1109168384304779264,AndraDayMusic,Fri Mar 22 19:02:04 +0000 2019,Today is @UN_Water #WorldWaterDay. Join the #CleanWaterHere2019 global campaign to help kids get safe drinking wate… https://t.co/svv8liDp9G,#WorldWaterDay#CleanWaterHere2019#,@UN_Water@,18,1
1108555050207440896,AndraDayMusic,Thu Mar 21 02:24:54 +0000 2019,"🤦🏽‍♀️🤦🏽‍♀️🙌🏽🙌🏽👏🏽👏🏽🙏🏽🙏🏽👍🏽👍🏽❤️❤️🥰😍🥰😍🥰😍🥰😍🥰😍🥰  You are truly gifted sugar bebe, God bless you. https://t.co/b0BO8x3nzS",#,@,31,7
1108444344736858112,AndraDayMusic,Wed Mar 20 19:05:00 +0000 2019,Proud of my friend and producer Adrian Gurvitz 🙏🏾❤️ all proceeds from this project benefit 2 non profits… https://t.co/mqA0iFr0Um,#,@,15,2
1106646952106586112,AndraDayMusic,Fri Mar 15 20:02:48 +0000 2019,RT @PPact: What do we do when our health care is under attack? We rise up and fight back. We’re going to do everything we can to stop the g…,#,@PPact@,0,214
1104117814141444096,AndraDayMusic,Fri Mar 08 20:32:55 +0000 2019,"Tune in for a special #GRAMMYsAretha tribute performance by Andra Day and more, Sunday 10 9/8c @CBS https://t.co/8ldOJ0yd6r",#GRAMMYsAretha#,@CBS@,85,13
1104106398269419520,AndraDayMusic,Fri Mar 08 19:47:33 +0000 2019,RT @CelebrityCruise: We had the privilege of welcoming the talented @AndraDayMusic to perform during our #CelebrityEdge Naming Ceremony las…,#CelebrityEdge#,@CelebrityCruise@AndraDayMusic@,0,9
1103730205711949824,AndraDayMusic,Thu Mar 07 18:52:42 +0000 2019,🙏🏽 https://t.co/X0c7GUsAwr,#,@,59,5
1095405278432878592,AndraDayMusic,Tue Feb 12 19:32:24 +0000 2019,"RT @YolandaAdams: My girls @AndraDayMusic and @TasiasWord took pictures backstage after our performance at the #GRAMMYs, and #Fantasia fann…",#GRAMMYs#Fantasia#,@YolandaAdams@AndraDayMusic@TasiasWord@,0,118
1084583561028558848,AndraDayMusic,Sun Jan 13 22:50:46 +0000 2019,.@GaryClarkJr I feel this heat and truth from all the way over here. Amazing work brother. God bless. #ThisLand https://t.co/fqwQJARbWE,#ThisLand#,@GaryClarkJr@,58,15
1072899774154649600,AndraDayMusic,Wed Dec 12 17:03:34 +0000 2018,Stop school shootings and save lives.  Learn how from @sandyhook https://t.co/auNZ2JZVM1,#,@sandyhook@,48,8
1070808368195858433,AndraDayMusic,Thu Dec 06 22:33:04 +0000 2018,Thank you again @CelebrityCruise for having me at the  #CelebrityEdge naming ceremony. It was beautiful! #sponsored https://t.co/xbJWzo98UU,#CelebrityEdge#sponsored#,@CelebrityCruise@,50,13
1070175115562774528,AndraDayMusic,Wed Dec 05 04:36:45 +0000 2018,Andra Day and @Malala at the iconic #CelebrityEdge Naming Ceremony for @CelebrityCruise #sponsored https://t.co/FquMVSd7fA,#CelebrityEdge#sponsored#,@Malala@CelebrityCruise@,128,12
1068661928489152512,AndraDayMusic,Sat Dec 01 00:23:53 +0000 2018,"There are 264 million children out of school, denied the freedom that an education affords them. Demand world leade… https://t.co/961aOdPlSf",#,@,39,14
1067921871444697089,AndraDayMusic,Wed Nov 28 23:23:09 +0000 2018,Andra Day is partnering with @CelebrityCruise to perform at the #CelebrityEdge Naming Ceremony. Tune in live on Tue… https://t.co/Ldl6RM679S,#CelebrityEdge#,@CelebrityCruise@,52,6
1061003934641225728,AndraDayMusic,Fri Nov 09 21:13:45 +0000 2018,"RT @staceyabrams: In a race this close, one vote could be the difference between a loss, a runoff, or a victory. If you voted on a provisio…",#,@staceyabrams@,0,24368
1059627490459582464,AndraDayMusic,Tue Nov 06 02:04:15 +0000 2018,RT @chelseahandler: You’re watching #telethonforamerica. Go to https://t.co/Ngiqsp1VoO to make your pledge to vote tomorrow! https://t.co/S…,#telethonforamerica#,@chelseahandler@,0,199
1049728036319293440,AndraDayMusic,Tue Oct 09 18:27:21 +0000 2018,Andra Day’s “Amen” is featured in the new @GenesisUSA G80 campaign. Get the track here: https://t.co/06BnqF1WUm https://t.co/tFSV7AunF4,#,@GenesisUSA@,82,26
1043940957593325568,AndraDayMusic,Sun Sep 23 19:11:34 +0000 2018,Please watch the short doc at https://t.co/Sn5Io8I4Cc and take action by using the letter generator that finds your… https://t.co/aynoEE9pL6,#,@,40,13
1040645738319904768,AndraDayMusic,Fri Sep 14 16:57:32 +0000 2018,Andra Day is proud to inspire the next generation of young artists with @urbanartsorg to put the arts in core acade… https://t.co/2dT8Ph9qFi,#,@UrbanArtsOrg@,76,12
1037123011826999297,AndraDayMusic,Tue Sep 04 23:39:29 +0000 2018,"RT @Lin_Manuel: Your Wednesday August #Hamildrop--
Our film of Burn starring the great @AndraDayMusic!
https://t.co/6E9694VV3r",#Hamildrop#,@Lin_Manuel@AndraDayMusic@,0,945
1118972923757256704,Baka_Not_Nice,Thu Apr 18 20:21:49 +0000 2019,"RT @BBCR1MusicBot: Now Playing Baka Not Nice, Giggs - My Town @baka_not_nice, @officialgiggs https://t.co/rYurjG0LGz",#,@BBCR1MusicBot@Baka_Not_Nice@officialgiggs@,0,1
1118972892962668544,Baka_Not_Nice,Thu Apr 18 20:21:41 +0000 2019,@VibeMagazine https://t.co/EpEQI303C5,#,@VibeMagazine@,0,0
1113492194713841664,Baka_Not_Nice,Wed Apr 03 17:23:21 +0000 2019,"LONDON PULL UP - APRIL 6TH // 1-5 Poland St, Soho, London #NOLONGTALK #OVOSOUND #EH https://t.co/gGDHYljBWW",#NOLONGTALK#OVOSOUND#EH#,@,185,14
1113215473158565888,Baka_Not_Nice,Tue Apr 02 23:03:46 +0000 2019,RT @4everKelz: OVO got another one 💪🏽 My Town is 🔥🔥🔥 https://t.co/ck9RJnq1zr,#,@4everKelz@,0,5
1113215443521511426,Baka_Not_Nice,Tue Apr 02 23:03:38 +0000 2019,RT @realDockery: My town hardest hit out🔥🔥🔥 https://t.co/TGhc1IsF1g,#,@realDockery@,0,5
