musician_id,musician_name,musician_screen_name,musician_description,musician_followers_count,musician_friends_count
2836755090,AC/DC,acdc,The official AC/DC Twitter. New album Rock or Bust available now,317242,20
184910040,Adele,Adele,https://t.co/5Vf55N5xFe,27803680,0
18396706,Arcade Fire,arcadefire,hibernating since 2018,1013381,82
2491031231,Au/Ra,heyitsau_ra,a dork who writes music (˶◡‿◡) a s s a s s i n ⚔ Out now. https://t.co/0oQ9qU50Kd,7718,199
2485487799,CAPTAIN,RealCaptain865,"Opening Credits: Lil Uzi Vert, Tee Grizzley, Ayo & Teo, Ugly God, Don Trip, Starlito, Lil Donald, and Curren$y",8725,135
881094492,ayokay,ayokay,“Queen” music video:,7283,165
36169080,Barbra Streisand,BarbraStreisand,Happy to be returning and performing in London this July! I love that city. Full info here:,586664,147
31239408,BEYONCÉ,Beyonce,,14964970,10
566755032,billie,BillieMarten,hello ladies and fellows,11016,929
85401970,Billy Joel,billyjoel,"Official Billy Joel online team.
📧: https://t.co/3fiqvJPd5F",262652,17
22667853,bobdylan.com,bobdylan,"The official Twitter account of Bob Dylan. More Blood, More Tracks: The Bootleg Series Vol. 14 available for order now: https://t.co/payVnOivTQ",338217,0
23748448,Bring Me The Horizon,bmthofficial,"aмo 
тнe new alвυм - oυт now https://t.co/oA51ZcC23h",1904771,428
43383705,Bruce Springsteen,springsteen,New album #WesternStars coming June 14 / Tweets by Team Springsteen,1180674,36
18625669,Calvin Harris,CalvinHarris,Music producer 🏴󠁧󠁢󠁳󠁣󠁴󠁿,12790594,3304
106854950,Celine Dion,celinedion,Posts signed / Publications signées TC = Team Céline,853969,95
75634645,chase b,ogchaseb,from the south.,38736,384
189362860,chloe x halle,chloexhalle,"individually we are one drop, together we are an ocean | our debut album #TheKidsAreAlright out now: https://t.co/93QU146a98 💎✨👽",193975,987
809656441,COIN,COIN,https://t.co/ycNfur6inz,39788,114
