musician_id,musician_name,musician_screen_name,musician_description,musician_followers_count,musician_friends_count
169686021,ye,kanyewest,,29296182,268
28035260,King Push,PUSHA_T,MGMT: @STEVENVICTOR,1608100,765
16909755,LOVE,zenojones,@maniamerch ©1985-2018 Zeno Jones. ALL RIGHTS RESERVED,7744,1157
467067780,Chris Blaze,ChrisBlaze4,Chill bro here! Love sports and R&B music. Singer and Actor as well.,394,802
17169320,COMMON,common,#Common,5386615,772
15553222,Consequence of Sound,consequence,"Music, film, and pop culture publication.",197985,2297
94338259,CYHI THE PRYNCE,CyhiThePrynce,Grammy Nominated SONY/GOOD Music Artist | Show booking: bookingcyhi@gmail.com Features: cyhifeatures@gmail.com Beats: dontsendtrapbeats@gmail.com,147653,1574
52420819,D'banj D Kokomaster,iamdbanj,Entertainer | Entrepreneur | The Avant Garde,2729261,2490
53817066,ITS DONJAZZY AGAIN😉,DONJAZZY,,3188548,71410
48107021,Leigh Feldman,Leighzus,Former Jonas Brothers tour dj (no joke). Once shook Beyonce's hand (no lie). Fonzworth Bentley convinced me to get married (true story). Will Sell Out For Money,9381,318
121819983,Mike GLC,mikeglc,my little sister https://t.co/Zbp1kdJQrw https://t.co/gTAzqhLsaG,13409,165
23884517,Hit-Boy,Hit_Boy,HS87 ~ Tony Fontana,210373,103
18907544,Hudson Mohawke,HudMo,14/m/LA @LuckyMe @WarpRecords ig @hudmo,106636,1308
18228898,John Legend,johnlegend,Chrissy's husband. Father of Luna & Miles. No relation to Arthur.,12637784,947
243287822,The Chosen One,KidCudi,musical anarchist/the originator,2000279,3
1658490936,Ω,YusefMalik_,Quran [24:35],199,239
19367319,Yasiin Bey,MosDefOfficial,,139307,4
9335002,MrHudson,MrHudson,A N T I D O T E out now https://t.co/ZlmStohdLN,98421,1264
1152993973,Megan Bowen,MiGoOk_SaRaM,American🇺🇸in Seoul 🇰🇷YouTuber/Vlogger 🎥 Fashionista 👠World Traveler ✈️Plantbased Foodie 🌱🍠🍠Sweet Potato Lover/ Fitness Buff 💪🏼💪🏼,33035,125
40672838,S1 (Symbolyc One),SymbolycOne,"2 x GRAMMY AWARD WINNING Multi-Platinum Selling Producer/Christian/Prod for Kanye, Beyonce, Madonna, Gladys Knight, Eminem, Jay Z, Lil Uzi, Drake, Young Thug",29223,2470
23702397,TEYANA M.J. SHUMPERT,TEYANATAYLOR,"A wife, mother, singer, dancer, actor and all that other good stuff ☺️ download my new album #KTSE on iTunes 😁",1201635,1089
116861193,Tony Williams,TWFTonyWilliams,Grammy-winning vocalist. New video #1 Fan is available everywhere NOW! [For booking contact: @AlaskasVeryOwn],16664,960
135019364,TRAVIS SCOTT,trvisXX,ASTROWORLD,5142786,726
22733444,T-Raww,Tyga,https://t.co/AVoUQqcJwb Tygabookings@apa-agency.com,5375492,4333
