musician_id,musician_name,musician_screen_name,musician_description,musician_followers_count,musician_friends_count
815537202,Andra Day,AndraDayMusic,Grammy nominated singer/songwriter. Signed to @WBR and @BuskinRecords.,371014,1660
513453504,Baka Not Nice,Baka_Not_Nice,,8630,32
786784617596489728,Carlie Hanson,carliehanson,you are never alone 💙 BACK IN MY ARMS out NOW !! dr@fullstopmgmt.com,6200,373
531750633,Damon Albarn,Damonalbarn,"New album ‘Merrie Land’ from Damon Albarn and The Good, The Bad & The Queen @goodbadqueen  is out now. https://t.co/iVM8Y4352q",274626,117
763119618537902080,Eric Clapton,EricClapton,Official Eric Clapton Twitter Account,48655,1
2231284530,FEDER,Feder_Music,"New single 'Control' is OUT! https://t.co/5KlUBvBcRr  

MGMT: tommy@gin-agency.com",14328,65
23324892,gallant,SoGallant,twitter is down 🏴‍☠️,115393,7
435023126,Houndmouth,Houndmouth,,18165,131
1412296230,Icarus,icarus,Tom & Ian • Manager: ali@modestmanagement.com • Label: demos@weareflyboy.com / @weareflyboy,4681,666
28076276,Jason Derulo,jasonderulo,"Let's Shut Up And Dance OUT NOW!
https://t.co/YC2rxqzXc5

For inquiries: Info@23-management.com",3895475,13928
217542478,Kai,listentokai,how wild it was to let it be,24454,162
21181713,Liam Gallagher,liamgallagher,ROCK N ROLL STAR,3022294,0
23065354,Mac,MacMiller,Swimming is available now.,8624904,1301
26763420,Neil Young,Neilyoung,rock layer & stone mason serving you since 1945 find Neil on NYA @NeilYoungNYA,457363,14
3293923359,Ofenbach,Ofenbachmusic,"Our new single ""Paradise"" is OUT NOW ! https://t.co/YQQEBBHy1n",5591,168
1346180581,PARTYNEXTDOOR,partynextdoor,https://t.co/O58QdqcsOI,1464626,588
4855085105,Q Money,q_moneyyyyy,Booking: 678-938-3829,6355,968
1720670132,Rationale,iamrationale,Singer Songwriter || Producer || Knowledge seeker. New EP 'High Hopes' out now. Check out the link below 👇🏾,12339,404
156729608,Sabina Ddumba,SabinaDdumba,,3059,417
21362105,Tegan and Sara,teganandsara,"High School, our memoir, is out Sept 24. Get a preview and pre-order now at https://t.co/1NdOkMmGqX",581467,2608
202933489,KC DA BEATMONSTER,kcdabeatmonster,"(Music Producer) Creds: Young thug, T.i., Yfn Lucci, Soulja Boy, Chief Keef, Philthy Rich, Young Dolph, Future, K Camp, Migos, RHQ, Gucci Mane",6793,582
