musician_id,company_name,musician
1,Columbia Records,AC/DC
2,Columbia Records,Adele
3,Columbia Records,Arcade Fire
4,Columbia Records,Au/Ra
5,Columbia Records,Ayo & Teo
6,Columbia Records,ayokay
7,Columbia Records,Barbra Streisand
8,Columbia Records,Beyoncé
9,Columbia Records,Billie Marten
10,Columbia Records,Billy Joel
11,Columbia Records,Bob Dylan
12,Columbia Records,Bring Me The Horizon
13,Columbia Records,Bruce Springsteen
14,Columbia Records,Calvin Harris
15,Columbia Records,Céline Dion
16,Columbia Records,Chase B
17,Columbia Records,Chloe x Halle
18,Columbia Records,COIN
