musician_id,company_name,musician
1,Good Music,Kanye West
2,Good Music,Pusha T
3,Good Music,Big Sean
4,Good Music,Chris Blaze
5,Good Music,Common
6,Good Music,Consequence
7,Good Music,Cyhi the Prynce
8,Good Music,D'banj
9,Good Music,Devo Springsteen
10,Good Music,Don Jazzy
11,Good Music,Fonzworth Bentley
12,Good Music,GLC
13,Good Music,Hit-Boy
14,Good Music,Hudson Mohawke
15,Good Music,John Legend
16,Good Music,Kid Cudi
17,Good Music,Malik Yusef
18,Good Music,Mos Def
19,Good Music,Mr Hudson
20,Good Music,Sa-Ra
21,Good Music,Symbolyc One
22,Good Music,Teyana Taylor
23,Good Music,Tony Williams
24,Good Music,Travis Scott
25,Good Music,Tyga
